Category: All categories

Week,cloroquina: (State of Acre)
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,15
2020-03-01,0
2020-03-08,0
2020-03-15,14
2020-03-22,56
2020-03-29,0
2020-04-05,13
2020-04-12,26
2020-04-19,13
2020-04-26,0
2020-05-03,26
2020-05-10,38
2020-05-17,100
2020-05-24,26
2020-05-31,25
2020-06-07,53
2020-06-14,26
2020-06-21,0
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,14
2020-07-26,28
2020-08-02,0
2020-08-09,0
2020-08-16,13
2020-08-23,0
2020-08-30,0
2020-09-06,0
2020-09-13,0
2020-09-20,0
2020-09-27,13
2020-10-04,0
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,13
2020-11-08,13
2020-11-15,0
2020-11-22,0
2020-11-29,12
2020-12-06,0
2020-12-13,13
2020-12-20,0
2020-12-27,15
2021-01-03,0
2021-01-10,14
2021-01-17,0
2021-01-24,0
2021-01-31,13
2021-02-07,13
2021-02-14,0
2021-02-21,0
2021-02-28,0
2021-03-07,13
2021-03-14,0
2021-03-21,13
2021-03-28,0
2021-04-04,0
2021-04-11,0
2021-04-18,12
2021-04-25,0
2021-05-02,25
2021-05-09,0
2021-05-16,0
2021-05-23,13
2021-05-30,0
2021-06-06,13
2021-06-13,0
