Category: All categories

Week,cloroquina: (State of Amazonas)
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,4
2020-02-02,4
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,0
2020-03-15,38
2020-03-22,100
2020-03-29,26
2020-04-05,83
2020-04-12,98
2020-04-19,44
2020-04-26,48
2020-05-03,47
2020-05-10,41
2020-05-17,84
2020-05-24,35
2020-05-31,28
2020-06-07,26
2020-06-14,6
2020-06-21,7
2020-06-28,10
2020-07-05,21
2020-07-12,11
2020-07-19,4
2020-07-26,4
2020-08-02,11
2020-08-09,7
2020-08-16,17
2020-08-23,3
2020-08-30,7
2020-09-06,3
2020-09-13,0
2020-09-20,0
2020-09-27,3
2020-10-04,0
2020-10-11,0
2020-10-18,7
2020-10-25,0
2020-11-01,0
2020-11-08,0
2020-11-15,0
2020-11-22,0
2020-11-29,0
2020-12-06,4
2020-12-13,4
2020-12-20,16
2020-12-27,29
2021-01-03,21
2021-01-10,14
2021-01-17,45
2021-01-24,10
2021-01-31,3
2021-02-07,7
2021-02-14,3
2021-02-21,10
2021-02-28,0
2021-03-07,7
2021-03-14,0
2021-03-21,3
2021-03-28,7
2021-04-04,6
2021-04-11,10
2021-04-18,10
2021-04-25,0
2021-05-02,0
2021-05-09,10
2021-05-16,16
2021-05-23,13
2021-05-30,3
2021-06-06,3
2021-06-13,11
