Category: All categories

Week,cloroquina: (State of Bahia)
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,1
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,0
2020-03-15,34
2020-03-22,49
2020-03-29,24
2020-04-05,52
2020-04-12,22
2020-04-19,13
2020-04-26,4
2020-05-03,5
2020-05-10,47
2020-05-17,100
2020-05-24,26
2020-05-31,27
2020-06-07,32
2020-06-14,19
2020-06-21,6
2020-06-28,12
2020-07-05,20
2020-07-12,24
2020-07-19,20
2020-07-26,13
2020-08-02,6
2020-08-09,7
2020-08-16,24
2020-08-23,9
2020-08-30,6
2020-09-06,1
2020-09-13,1
2020-09-20,1
2020-09-27,3
2020-10-04,0
2020-10-11,1
2020-10-18,1
2020-10-25,1
2020-11-01,1
2020-11-08,0
2020-11-15,2
2020-11-22,2
2020-11-29,3
2020-12-06,4
2020-12-13,3
2020-12-20,5
2020-12-27,3
2021-01-03,5
2021-01-10,3
2021-01-17,17
2021-01-24,8
2021-01-31,8
2021-02-07,4
2021-02-14,3
2021-02-21,1
2021-02-28,11
2021-03-07,6
2021-03-14,8
2021-03-21,12
2021-03-28,5
2021-04-04,5
2021-04-11,5
2021-04-18,4
2021-04-25,3
2021-05-02,8
2021-05-09,7
2021-05-16,17
2021-05-23,16
2021-05-30,9
2021-06-06,8
2021-06-13,4
