Category: All categories

Week,cloroquina: (State of Goiás)
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,2
2020-03-01,0
2020-03-08,0
2020-03-15,71
2020-03-22,83
2020-03-29,30
2020-04-05,59
2020-04-12,29
2020-04-19,21
2020-04-26,10
2020-05-03,5
2020-05-10,70
2020-05-17,100
2020-05-24,34
2020-05-31,20
2020-06-07,36
2020-06-14,15
2020-06-21,16
2020-06-28,23
2020-07-05,35
2020-07-12,31
2020-07-19,30
2020-07-26,30
2020-08-02,8
2020-08-09,9
2020-08-16,23
2020-08-23,20
2020-08-30,11
2020-09-06,7
2020-09-13,4
2020-09-20,1
2020-09-27,9
2020-10-04,4
2020-10-11,0
2020-10-18,6
2020-10-25,8
2020-11-01,0
2020-11-08,0
2020-11-15,4
2020-11-22,3
2020-11-29,1
2020-12-06,3
2020-12-13,2
2020-12-20,7
2020-12-27,4
2021-01-03,2
2021-01-10,9
2021-01-17,21
2021-01-24,12
2021-01-31,7
2021-02-07,1
2021-02-14,3
2021-02-21,4
2021-02-28,9
2021-03-07,7
2021-03-14,11
2021-03-21,19
2021-03-28,8
2021-04-04,6
2021-04-11,9
2021-04-18,6
2021-04-25,3
2021-05-02,6
2021-05-09,4
2021-05-16,12
2021-05-23,12
2021-05-30,14
2021-06-06,14
2021-06-13,10
