Category: All categories

Week,cloroquina: (State of Maranhão)
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,2
2020-03-01,0
2020-03-08,0
2020-03-15,26
2020-03-22,56
2020-03-29,15
2020-04-05,63
2020-04-12,46
2020-04-19,18
2020-04-26,24
2020-05-03,31
2020-05-10,100
2020-05-17,87
2020-05-24,17
2020-05-31,19
2020-06-07,15
2020-06-14,11
2020-06-21,8
2020-06-28,4
2020-07-05,12
2020-07-12,12
2020-07-19,26
2020-07-26,4
2020-08-02,6
2020-08-09,2
2020-08-16,15
2020-08-23,4
2020-08-30,4
2020-09-06,2
2020-09-13,0
2020-09-20,2
2020-09-27,0
2020-10-04,4
2020-10-11,0
2020-10-18,4
2020-10-25,2
2020-11-01,2
2020-11-08,0
2020-11-15,0
2020-11-22,0
2020-11-29,0
2020-12-06,2
2020-12-13,0
2020-12-20,0
2020-12-27,2
2021-01-03,0
2021-01-10,10
2021-01-17,2
2021-01-24,6
2021-01-31,6
2021-02-07,4
2021-02-14,0
2021-02-21,4
2021-02-28,7
2021-03-07,2
2021-03-14,3
2021-03-21,5
2021-03-28,7
2021-04-04,2
2021-04-11,9
2021-04-18,3
2021-04-25,2
2021-05-02,5
2021-05-09,3
2021-05-16,8
2021-05-23,0
2021-05-30,9
2021-06-06,2
2021-06-13,12
