Category: All categories

Week,cloroquina: (State of Mato Grosso)
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,3
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,0
2020-03-15,54
2020-03-22,80
2020-03-29,24
2020-04-05,36
2020-04-12,29
2020-04-19,22
2020-04-26,2
2020-05-03,5
2020-05-10,54
2020-05-17,100
2020-05-24,22
2020-05-31,21
2020-06-07,22
2020-06-14,36
2020-06-21,19
2020-06-28,17
2020-07-05,27
2020-07-12,32
2020-07-19,28
2020-07-26,15
2020-08-02,5
2020-08-09,7
2020-08-16,18
2020-08-23,12
2020-08-30,2
2020-09-06,5
2020-09-13,12
2020-09-20,14
2020-09-27,2
2020-10-04,5
2020-10-11,8
2020-10-18,0
2020-10-25,7
2020-11-01,0
2020-11-08,0
2020-11-15,0
2020-11-22,2
2020-11-29,2
2020-12-06,10
2020-12-13,3
2020-12-20,6
2020-12-27,3
2021-01-03,5
2021-01-10,7
2021-01-17,10
2021-01-24,14
2021-01-31,5
2021-02-07,7
2021-02-14,2
2021-02-21,2
2021-02-28,2
2021-03-07,0
2021-03-14,18
2021-03-21,21
2021-03-28,12
2021-04-04,14
2021-04-11,2
2021-04-18,2
2021-04-25,2
2021-05-02,2
2021-05-09,5
2021-05-16,7
2021-05-23,16
2021-05-30,17
2021-06-06,14
2021-06-13,16
