Category: All categories

Week,cloroquina: (State of Pará)
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,1
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,0
2020-03-15,32
2020-03-22,50
2020-03-29,22
2020-04-05,34
2020-04-12,41
2020-04-19,40
2020-04-26,48
2020-05-03,36
2020-05-10,63
2020-05-17,100
2020-05-24,34
2020-05-31,27
2020-06-07,18
2020-06-14,10
2020-06-21,9
2020-06-28,4
2020-07-05,7
2020-07-12,11
2020-07-19,18
2020-07-26,0
2020-08-02,4
2020-08-09,4
2020-08-16,16
2020-08-23,4
2020-08-30,4
2020-09-06,0
2020-09-13,1
2020-09-20,0
2020-09-27,0
2020-10-04,5
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,1
2020-11-08,0
2020-11-15,2
2020-11-22,0
2020-11-29,1
2020-12-06,0
2020-12-13,3
2020-12-20,3
2020-12-27,2
2021-01-03,0
2021-01-10,4
2021-01-17,12
2021-01-24,6
2021-01-31,9
2021-02-07,1
2021-02-14,3
2021-02-21,5
2021-02-28,1
2021-03-07,2
2021-03-14,1
2021-03-21,10
2021-03-28,10
2021-04-04,2
2021-04-11,4
2021-04-18,5
2021-04-25,1
2021-05-02,0
2021-05-09,4
2021-05-16,6
2021-05-23,5
2021-05-30,10
2021-06-06,2
2021-06-13,4
