Category: All categories

Week,cloroquina: (State of Paraíba)
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,2
2020-03-15,28
2020-03-22,48
2020-03-29,15
2020-04-05,47
2020-04-12,28
2020-04-19,18
2020-04-26,11
2020-05-03,2
2020-05-10,64
2020-05-17,100
2020-05-24,39
2020-05-31,21
2020-06-07,32
2020-06-14,14
2020-06-21,0
2020-06-28,4
2020-07-05,10
2020-07-12,17
2020-07-19,12
2020-07-26,8
2020-08-02,4
2020-08-09,6
2020-08-16,19
2020-08-23,12
2020-08-30,4
2020-09-06,2
2020-09-13,4
2020-09-20,4
2020-09-27,2
2020-10-04,6
2020-10-11,2
2020-10-18,6
2020-10-25,2
2020-11-01,0
2020-11-08,2
2020-11-15,4
2020-11-22,4
2020-11-29,2
2020-12-06,2
2020-12-13,0
2020-12-20,9
2020-12-27,2
2021-01-03,4
2021-01-10,4
2021-01-17,4
2021-01-24,6
2021-01-31,0
2021-02-07,2
2021-02-14,0
2021-02-21,4
2021-02-28,6
2021-03-07,2
2021-03-14,4
2021-03-21,14
2021-03-28,6
2021-04-04,2
2021-04-11,2
2021-04-18,4
2021-04-25,0
2021-05-02,0
2021-05-09,10
2021-05-16,14
2021-05-23,17
2021-05-30,4
2021-06-06,6
2021-06-13,0
