Category: All categories

Week,cloroquina: (State of Piauí)
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,3
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,0
2020-03-15,28
2020-03-22,45
2020-03-29,27
2020-04-05,70
2020-04-12,15
2020-04-19,9
2020-04-26,3
2020-05-03,9
2020-05-10,100
2020-05-17,85
2020-05-24,29
2020-05-31,19
2020-06-07,29
2020-06-14,6
2020-06-21,3
2020-06-28,6
2020-07-05,9
2020-07-12,21
2020-07-19,19
2020-07-26,3
2020-08-02,9
2020-08-09,3
2020-08-16,20
2020-08-23,3
2020-08-30,9
2020-09-06,0
2020-09-13,0
2020-09-20,0
2020-09-27,0
2020-10-04,0
2020-10-11,0
2020-10-18,3
2020-10-25,0
2020-11-01,0
2020-11-08,3
2020-11-15,0
2020-11-22,0
2020-11-29,0
2020-12-06,6
2020-12-13,0
2020-12-20,4
2020-12-27,0
2021-01-03,0
2021-01-10,6
2021-01-17,6
2021-01-24,9
2021-01-31,6
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,3
2021-03-07,6
2021-03-14,3
2021-03-21,12
2021-03-28,7
2021-04-04,3
2021-04-11,0
2021-04-18,6
2021-04-25,5
2021-05-02,0
2021-05-09,6
2021-05-16,0
2021-05-23,9
2021-05-30,9
2021-06-06,3
2021-06-13,0
