Category: All categories

Week,cloroquina: (State of Paraná)
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,1
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,0
2020-03-15,51
2020-03-22,75
2020-03-29,30
2020-04-05,72
2020-04-12,59
2020-04-19,15
2020-04-26,9
2020-05-03,5
2020-05-10,43
2020-05-17,100
2020-05-24,31
2020-05-31,15
2020-06-07,22
2020-06-14,17
2020-06-21,13
2020-06-28,11
2020-07-05,30
2020-07-12,28
2020-07-19,20
2020-07-26,18
2020-08-02,7
2020-08-09,8
2020-08-16,17
2020-08-23,11
2020-08-30,11
2020-09-06,7
2020-09-13,2
2020-09-20,4
2020-09-27,8
2020-10-04,2
2020-10-11,3
2020-10-18,6
2020-10-25,3
2020-11-01,4
2020-11-08,1
2020-11-15,6
2020-11-22,5
2020-11-29,5
2020-12-06,6
2020-12-13,7
2020-12-20,9
2020-12-27,4
2021-01-03,5
2021-01-10,11
2021-01-17,18
2021-01-24,9
2021-01-31,11
2021-02-07,4
2021-02-14,4
2021-02-21,3
2021-02-28,9
2021-03-07,14
2021-03-14,16
2021-03-21,25
2021-03-28,6
2021-04-04,10
2021-04-11,10
2021-04-18,6
2021-04-25,6
2021-05-02,7
2021-05-09,7
2021-05-16,17
2021-05-23,18
2021-05-30,22
2021-06-06,12
2021-06-13,14
