Category: All categories

Week,cloroquina: (State of Rio de Janeiro)
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,<1
2020-02-23,1
2020-03-01,<1
2020-03-08,<1
2020-03-15,43
2020-03-22,50
2020-03-29,27
2020-04-05,56
2020-04-12,44
2020-04-19,20
2020-04-26,15
2020-05-03,14
2020-05-10,58
2020-05-17,100
2020-05-24,22
2020-05-31,20
2020-06-07,18
2020-06-14,15
2020-06-21,10
2020-06-28,4
2020-07-05,17
2020-07-12,15
2020-07-19,18
2020-07-26,12
2020-08-02,6
2020-08-09,7
2020-08-16,17
2020-08-23,8
2020-08-30,4
2020-09-06,2
2020-09-13,4
2020-09-20,2
2020-09-27,1
2020-10-04,3
2020-10-11,1
2020-10-18,2
2020-10-25,1
2020-11-01,2
2020-11-08,1
2020-11-15,5
2020-11-22,3
2020-11-29,5
2020-12-06,5
2020-12-13,6
2020-12-20,4
2020-12-27,6
2021-01-03,6
2021-01-10,6
2021-01-17,18
2021-01-24,11
2021-01-31,5
2021-02-07,4
2021-02-14,2
2021-02-21,1
2021-02-28,4
2021-03-07,6
2021-03-14,7
2021-03-21,15
2021-03-28,7
2021-04-04,7
2021-04-11,4
2021-04-18,6
2021-04-25,4
2021-05-02,9
2021-05-09,7
2021-05-16,17
2021-05-23,11
2021-05-30,12
2021-06-06,9
2021-06-13,6
