Category: All categories

Week,cloroquina: (State of Rio Grande do Norte)
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,3
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,0
2020-03-15,28
2020-03-22,56
2020-03-29,24
2020-04-05,23
2020-04-12,46
2020-04-19,9
2020-04-26,2
2020-05-03,7
2020-05-10,58
2020-05-17,100
2020-05-24,46
2020-05-31,36
2020-06-07,56
2020-06-14,25
2020-06-21,7
2020-06-28,2
2020-07-05,10
2020-07-12,17
2020-07-19,15
2020-07-26,8
2020-08-02,3
2020-08-09,2
2020-08-16,15
2020-08-23,10
2020-08-30,10
2020-09-06,3
2020-09-13,5
2020-09-20,5
2020-09-27,0
2020-10-04,0
2020-10-11,0
2020-10-18,5
2020-10-25,0
2020-11-01,0
2020-11-08,0
2020-11-15,0
2020-11-22,0
2020-11-29,3
2020-12-06,5
2020-12-13,3
2020-12-20,12
2020-12-27,3
2021-01-03,0
2021-01-10,3
2021-01-17,10
2021-01-24,5
2021-01-31,5
2021-02-07,3
2021-02-14,3
2021-02-21,0
2021-02-28,0
2021-03-07,5
2021-03-14,5
2021-03-21,7
2021-03-28,8
2021-04-04,5
2021-04-11,2
2021-04-18,0
2021-04-25,0
2021-05-02,0
2021-05-09,8
2021-05-16,10
2021-05-23,27
2021-05-30,18
2021-06-06,7
2021-06-13,9
