Category: All categories

Week,cloroquina: (State of Rondônia)
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,5
2020-02-23,0
2020-03-01,0
2020-03-08,0
2020-03-15,33
2020-03-22,44
2020-03-29,9
2020-04-05,28
2020-04-12,31
2020-04-19,9
2020-04-26,9
2020-05-03,26
2020-05-10,52
2020-05-17,100
2020-05-24,35
2020-05-31,42
2020-06-07,36
2020-06-14,22
2020-06-21,13
2020-06-28,9
2020-07-05,23
2020-07-12,14
2020-07-19,20
2020-07-26,5
2020-08-02,5
2020-08-09,5
2020-08-16,9
2020-08-23,18
2020-08-30,18
2020-09-06,0
2020-09-13,0
2020-09-20,5
2020-09-27,0
2020-10-04,0
2020-10-11,0
2020-10-18,5
2020-10-25,0
2020-11-01,0
2020-11-08,0
2020-11-15,4
2020-11-22,0
2020-11-29,0
2020-12-06,5
2020-12-13,10
2020-12-20,11
2020-12-27,6
2021-01-03,10
2021-01-10,15
2021-01-17,10
2021-01-24,5
2021-01-31,5
2021-02-07,5
2021-02-14,10
2021-02-21,9
2021-02-28,5
2021-03-07,5
2021-03-14,13
2021-03-21,14
2021-03-28,9
2021-04-04,5
2021-04-11,4
2021-04-18,9
2021-04-25,9
2021-05-02,5
2021-05-09,14
2021-05-16,4
2021-05-23,5
2021-05-30,5
2021-06-06,19
2021-06-13,0
