Category: All categories

Week,cloroquina: (State of Rio Grande do Sul)
2020-01-05,1
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,3
2020-03-01,1
2020-03-08,1
2020-03-15,61
2020-03-22,71
2020-03-29,37
2020-04-05,83
2020-04-12,38
2020-04-19,9
2020-04-26,5
2020-05-03,4
2020-05-10,45
2020-05-17,100
2020-05-24,27
2020-05-31,14
2020-06-07,23
2020-06-14,15
2020-06-21,8
2020-06-28,11
2020-07-05,20
2020-07-12,30
2020-07-19,28
2020-07-26,29
2020-08-02,9
2020-08-09,13
2020-08-16,26
2020-08-23,12
2020-08-30,9
2020-09-06,6
2020-09-13,4
2020-09-20,5
2020-09-27,3
2020-10-04,3
2020-10-11,5
2020-10-18,4
2020-10-25,2
2020-11-01,4
2020-11-08,3
2020-11-15,7
2020-11-22,4
2020-11-29,7
2020-12-06,5
2020-12-13,4
2020-12-20,11
2020-12-27,6
2021-01-03,10
2021-01-10,10
2021-01-17,22
2021-01-24,9
2021-01-31,7
2021-02-07,8
2021-02-14,9
2021-02-21,8
2021-02-28,22
2021-03-07,21
2021-03-14,22
2021-03-21,36
2021-03-28,8
2021-04-04,6
2021-04-11,4
2021-04-18,8
2021-04-25,5
2021-05-02,8
2021-05-09,4
2021-05-16,15
2021-05-23,12
2021-05-30,18
2021-06-06,8
2021-06-13,5
