Category: All categories

Week,cloroquina: (State of Santa Catarina)
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,1
2020-03-01,0
2020-03-08,2
2020-03-15,55
2020-03-22,86
2020-03-29,33
2020-04-05,63
2020-04-12,57
2020-04-19,17
2020-04-26,6
2020-05-03,2
2020-05-10,43
2020-05-17,100
2020-05-24,25
2020-05-31,16
2020-06-07,27
2020-06-14,23
2020-06-21,13
2020-06-28,7
2020-07-05,35
2020-07-12,45
2020-07-19,46
2020-07-26,26
2020-08-02,14
2020-08-09,14
2020-08-16,21
2020-08-23,17
2020-08-30,3
2020-09-06,3
2020-09-13,1
2020-09-20,2
2020-09-27,6
2020-10-04,4
2020-10-11,2
2020-10-18,4
2020-10-25,4
2020-11-01,2
2020-11-08,5
2020-11-15,3
2020-11-22,11
2020-11-29,7
2020-12-06,8
2020-12-13,10
2020-12-20,7
2020-12-27,3
2021-01-03,11
2021-01-10,6
2021-01-17,11
2021-01-24,8
2021-01-31,10
2021-02-07,4
2021-02-14,6
2021-02-21,8
2021-02-28,11
2021-03-07,9
2021-03-14,15
2021-03-21,21
2021-03-28,12
2021-04-04,5
2021-04-11,5
2021-04-18,4
2021-04-25,8
2021-05-02,8
2021-05-09,10
2021-05-16,21
2021-05-23,14
2021-05-30,20
2021-06-06,18
2021-06-13,0
