Category: All categories

Week,cloroquina: (State of Sergipe)
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,0
2020-03-15,32
2020-03-22,66
2020-03-29,23
2020-04-05,39
2020-04-12,38
2020-04-19,19
2020-04-26,8
2020-05-03,7
2020-05-10,55
2020-05-17,100
2020-05-24,11
2020-05-31,31
2020-06-07,15
2020-06-14,7
2020-06-21,11
2020-06-28,15
2020-07-05,26
2020-07-12,23
2020-07-19,8
2020-07-26,19
2020-08-02,11
2020-08-09,4
2020-08-16,7
2020-08-23,11
2020-08-30,7
2020-09-06,0
2020-09-13,0
2020-09-20,0
2020-09-27,4
2020-10-04,4
2020-10-11,0
2020-10-18,0
2020-10-25,8
2020-11-01,0
2020-11-08,4
2020-11-15,4
2020-11-22,0
2020-11-29,0
2020-12-06,0
2020-12-13,4
2020-12-20,0
2020-12-27,5
2021-01-03,8
2021-01-10,8
2021-01-17,8
2021-01-24,12
2021-01-31,4
2021-02-07,4
2021-02-14,0
2021-02-21,4
2021-02-28,4
2021-03-07,0
2021-03-14,0
2021-03-21,15
2021-03-28,8
2021-04-04,4
2021-04-11,0
2021-04-18,4
2021-04-25,0
2021-05-02,4
2021-05-09,8
2021-05-16,11
2021-05-23,12
2021-05-30,12
2021-06-06,0
2021-06-13,0
