Category: All categories

Week,cloroquina: (State of São Paulo)
2020-01-05,0
2020-01-12,<1
2020-01-19,<1
2020-01-26,0
2020-02-02,<1
2020-02-09,<1
2020-02-16,1
2020-02-23,1
2020-03-01,1
2020-03-08,1
2020-03-15,47
2020-03-22,75
2020-03-29,27
2020-04-05,69
2020-04-12,36
2020-04-19,14
2020-04-26,6
2020-05-03,7
2020-05-10,45
2020-05-17,100
2020-05-24,20
2020-05-31,17
2020-06-07,23
2020-06-14,12
2020-06-21,8
2020-06-28,7
2020-07-05,18
2020-07-12,17
2020-07-19,21
2020-07-26,15
2020-08-02,8
2020-08-09,8
2020-08-16,16
2020-08-23,10
2020-08-30,3
2020-09-06,3
2020-09-13,3
2020-09-20,2
2020-09-27,3
2020-10-04,3
2020-10-11,2
2020-10-18,3
2020-10-25,2
2020-11-01,1
2020-11-08,2
2020-11-15,3
2020-11-22,2
2020-11-29,2
2020-12-06,5
2020-12-13,5
2020-12-20,6
2020-12-27,4
2021-01-03,6
2021-01-10,9
2021-01-17,16
2021-01-24,9
2021-01-31,9
2021-02-07,5
2021-02-14,3
2021-02-21,3
2021-02-28,7
2021-03-07,6
2021-03-14,11
2021-03-21,21
2021-03-28,7
2021-04-04,7
2021-04-11,6
2021-04-18,3
2021-04-25,2
2021-05-02,9
2021-05-09,6
2021-05-16,14
2021-05-23,14
2021-05-30,11
2021-06-06,9
2021-06-13,7
