Category: All categories

Week,cloroquina: (State of Tocantins)
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,0
2020-03-15,67
2020-03-22,53
2020-03-29,20
2020-04-05,27
2020-04-12,26
2020-04-19,19
2020-04-26,13
2020-05-03,19
2020-05-10,57
2020-05-17,100
2020-05-24,19
2020-05-31,12
2020-06-07,7
2020-06-14,13
2020-06-21,13
2020-06-28,13
2020-07-05,54
2020-07-12,14
2020-07-19,21
2020-07-26,7
2020-08-02,20
2020-08-09,6
2020-08-16,25
2020-08-23,6
2020-08-30,6
2020-09-06,0
2020-09-13,0
2020-09-20,0
2020-09-27,0
2020-10-04,7
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,0
2020-11-15,0
2020-11-22,6
2020-11-29,6
2020-12-06,0
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,7
2021-01-10,7
2021-01-17,26
2021-01-24,0
2021-01-31,0
2021-02-07,0
2021-02-14,0
2021-02-21,6
2021-02-28,6
2021-03-07,0
2021-03-14,12
2021-03-21,13
2021-03-28,7
2021-04-04,0
2021-04-11,0
2021-04-18,0
2021-04-25,0
2021-05-02,0
2021-05-09,7
2021-05-16,6
2021-05-23,12
2021-05-30,13
2021-06-06,6
2021-06-13,0
