Category: All categories

Week,Chloroquine: (Worldwide)
2019-12-01,<1
2019-12-08,<1
2019-12-15,<1
2019-12-22,<1
2019-12-29,<1
2020-01-05,<1
2020-01-12,<1
2020-01-19,<1
2020-01-26,<1
2020-02-02,1
2020-02-09,1
2020-02-16,2
2020-02-23,9
2020-03-01,5
2020-03-08,6
2020-03-15,73
2020-03-22,100
2020-03-29,27
2020-04-05,23
2020-04-12,10
2020-04-19,8
2020-04-26,5
2020-05-03,5
2020-05-10,4
2020-05-17,5
2020-05-24,5
2020-05-31,3
2020-06-07,2
2020-06-14,2
2020-06-21,2
2020-06-28,1
2020-07-05,2
2020-07-12,1
2020-07-19,1
2020-07-26,4
2020-08-02,3
2020-08-09,1
2020-08-16,1
2020-08-23,1
2020-08-30,1
2020-09-06,1
2020-09-13,1
2020-09-20,1
2020-09-27,1
2020-10-04,1
2020-10-11,1
2020-10-18,1
2020-10-25,1
2020-11-01,1
2020-11-08,1
2020-11-15,1
2020-11-22,1
2020-11-29,1
2020-12-06,1
2020-12-13,1
2020-12-20,1
2020-12-27,1
2021-01-03,1
2021-01-10,1
2021-01-17,1
2021-01-24,1
2021-01-31,1
2021-02-07,1
2021-02-14,<1
2021-02-21,1
2021-02-28,1
2021-03-07,1
2021-03-14,1
2021-03-21,1
2021-03-28,1
2021-04-04,1
2021-04-11,1
2021-04-18,1
2021-04-25,1
2021-05-02,1
2021-05-09,<1
2021-05-16,1
2021-05-23,1
2021-05-30,1
2021-06-06,1
