Category: All categories

Week,social distancing: (Worldwide)
2019-12-01,0
2019-12-08,<1
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,<1
2020-02-02,<1
2020-02-09,<1
2020-02-16,<1
2020-02-23,<1
2020-03-01,1
2020-03-08,18
2020-03-15,100
2020-03-22,100
2020-03-29,100
2020-04-05,70
2020-04-12,63
2020-04-19,47
2020-04-26,44
2020-05-03,41
2020-05-10,38
2020-05-17,37
2020-05-24,35
2020-05-31,29
2020-06-07,25
2020-06-14,22
2020-06-21,21
2020-06-28,21
2020-07-05,19
2020-07-12,18
2020-07-19,16
2020-07-26,15
2020-08-02,15
2020-08-09,14
2020-08-16,13
2020-08-23,12
2020-08-30,12
2020-09-06,12
2020-09-13,12
2020-09-20,11
2020-09-27,9
2020-10-04,9
2020-10-11,8
2020-10-18,8
2020-10-25,7
2020-11-01,5
2020-11-08,5
2020-11-15,6
2020-11-22,5
2020-11-29,7
2020-12-06,6
2020-12-13,5
2020-12-20,5
2020-12-27,4
2021-01-03,5
2021-01-10,5
2021-01-17,5
2021-01-24,4
2021-01-31,4
2021-02-07,4
2021-02-14,4
2021-02-21,5
2021-02-28,4
2021-03-07,3
2021-03-14,4
2021-03-21,5
2021-03-28,4
2021-04-04,4
2021-04-11,4
2021-04-18,4
2021-04-25,5
2021-05-02,5
2021-05-09,5
2021-05-16,4
2021-05-23,3
2021-05-30,3
2021-06-06,3
