Category: All categories

Week,vaccine: (Worldwide)
2019-12-01,3
2019-12-08,3
2019-12-15,3
2019-12-22,2
2019-12-29,3
2020-01-05,3
2020-01-12,3
2020-01-19,4
2020-01-26,4
2020-02-02,4
2020-02-09,4
2020-02-16,3
2020-02-23,5
2020-03-01,7
2020-03-08,11
2020-03-15,16
2020-03-22,14
2020-03-29,12
2020-04-05,11
2020-04-12,10
2020-04-19,12
2020-04-26,11
2020-05-03,13
2020-05-10,11
2020-05-17,12
2020-05-24,9
2020-05-31,8
2020-06-07,9
2020-06-14,9
2020-06-21,10
2020-06-28,11
2020-07-05,11
2020-07-12,17
2020-07-19,15
2020-07-26,13
2020-08-02,12
2020-08-09,18
2020-08-16,12
2020-08-23,10
2020-08-30,11
2020-09-06,12
2020-09-13,11
2020-09-20,10
2020-09-27,10
2020-10-04,9
2020-10-11,10
2020-10-18,10
2020-10-25,9
2020-11-01,8
2020-11-08,20
2020-11-15,18
2020-11-22,15
2020-11-29,22
2020-12-06,33
2020-12-13,39
2020-12-20,32
2020-12-27,38
2021-01-03,49
2021-01-10,66
2021-01-17,66
2021-01-24,67
2021-01-31,64
2021-02-07,64
2021-02-14,62
2021-02-21,69
2021-02-28,90
2021-03-07,99
2021-03-14,97
2021-03-21,95
2021-03-28,100
2021-04-04,100
2021-04-11,85
2021-04-18,76
2021-04-25,94
2021-05-02,80
2021-05-09,82
2021-05-16,81
2021-05-23,72
2021-05-30,69
2021-06-06,68
