Category: All categories

Week,Vaccin: (Worldwide)
2019-12-01,6
2019-12-08,6
2019-12-15,5
2019-12-22,4
2019-12-29,4
2020-01-05,6
2020-01-12,6
2020-01-19,7
2020-01-26,8
2020-02-02,7
2020-02-09,6
2020-02-16,5
2020-02-23,9
2020-03-01,9
2020-03-08,12
2020-03-15,19
2020-03-22,15
2020-03-29,15
2020-04-05,12
2020-04-12,11
2020-04-19,10
2020-04-26,10
2020-05-03,10
2020-05-10,10
2020-05-17,9
2020-05-24,8
2020-05-31,7
2020-06-07,8
2020-06-14,9
2020-06-21,8
2020-06-28,9
2020-07-05,8
2020-07-12,9
2020-07-19,10
2020-07-26,9
2020-08-02,8
2020-08-09,13
2020-08-16,10
2020-08-23,9
2020-08-30,11
2020-09-06,10
2020-09-13,10
2020-09-20,11
2020-09-27,11
2020-10-04,12
2020-10-11,16
2020-10-18,17
2020-10-25,15
2020-11-01,15
2020-11-08,33
2020-11-15,24
2020-11-22,20
2020-11-29,21
2020-12-06,25
2020-12-13,24
2020-12-20,26
2020-12-27,35
2021-01-03,46
2021-01-10,56
2021-01-17,54
2021-01-24,40
2021-01-31,39
2021-02-07,36
2021-02-14,38
2021-02-21,45
2021-02-28,55
2021-03-07,72
2021-03-14,78
2021-03-21,66
2021-03-28,69
2021-04-04,81
2021-04-11,88
2021-04-18,75
2021-04-25,73
2021-05-02,84
2021-05-09,98
2021-05-16,84
2021-05-23,82
2021-05-30,100
2021-06-06,79
