Category: All categories

Week,distanciation sociale: (Worldwide)
2019-12-01,0
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,1
2020-03-08,13
2020-03-15,56
2020-03-22,36
2020-03-29,33
2020-04-05,43
2020-04-12,53
2020-04-19,61
2020-04-26,81
2020-05-03,100
2020-05-10,78
2020-05-17,51
2020-05-24,58
2020-05-31,47
2020-06-07,40
2020-06-14,51
2020-06-21,31
2020-06-28,24
2020-07-05,15
2020-07-12,12
2020-07-19,16
2020-07-26,19
2020-08-02,20
2020-08-09,16
2020-08-16,17
2020-08-23,14
2020-08-30,18
2020-09-06,20
2020-09-13,11
2020-09-20,23
2020-09-27,15
2020-10-04,17
2020-10-11,10
2020-10-18,10
2020-10-25,13
2020-11-01,15
2020-11-08,8
2020-11-15,13
2020-11-22,14
2020-11-29,4
2020-12-06,13
2020-12-13,7
2020-12-20,6
2020-12-27,4
2021-01-03,5
2021-01-10,3
2021-01-17,16
2021-01-24,11
2021-01-31,4
2021-02-07,6
2021-02-14,7
2021-02-21,6
2021-02-28,7
2021-03-07,3
2021-03-14,6
2021-03-21,12
2021-03-28,6
2021-04-04,4
2021-04-11,2
2021-04-18,7
2021-04-25,3
2021-05-02,2
2021-05-09,2
2021-05-16,3
2021-05-23,2
2021-05-30,3
2021-06-06,6
