Category: All categories

Week,Impfstoff: (Worldwide)
2019-12-01,1
2019-12-08,1
2019-12-15,1
2019-12-22,1
2019-12-29,1
2020-01-05,1
2020-01-12,1
2020-01-19,2
2020-01-26,2
2020-02-02,2
2020-02-09,2
2020-02-16,2
2020-02-23,12
2020-03-01,8
2020-03-08,14
2020-03-15,31
2020-03-22,16
2020-03-29,11
2020-04-05,10
2020-04-12,12
2020-04-19,18
2020-04-26,14
2020-05-03,13
2020-05-10,12
2020-05-17,10
2020-05-24,9
2020-05-31,8
2020-06-07,8
2020-06-14,12
2020-06-21,8
2020-06-28,10
2020-07-05,9
2020-07-12,11
2020-07-19,11
2020-07-26,12
2020-08-02,13
2020-08-09,19
2020-08-16,13
2020-08-23,13
2020-08-30,13
2020-09-06,13
2020-09-13,11
2020-09-20,11
2020-09-27,13
2020-10-04,14
2020-10-11,19
2020-10-18,21
2020-10-25,21
2020-11-01,17
2020-11-08,59
2020-11-15,33
2020-11-22,34
2020-11-29,34
2020-12-06,37
2020-12-13,46
2020-12-20,43
2020-12-27,50
2021-01-03,54
2021-01-10,48
2021-01-17,42
2021-01-24,50
2021-01-31,46
2021-02-07,40
2021-02-14,51
2021-02-21,72
2021-02-28,70
2021-03-07,82
2021-03-14,96
2021-03-21,63
2021-03-28,71
2021-04-04,78
2021-04-11,86
2021-04-18,71
2021-04-25,82
2021-05-02,100
2021-05-09,90
2021-05-16,83
2021-05-23,72
2021-05-30,59
2021-06-06,62
