Category: All categories

Week,Clorochina: (Worldwide)
2019-12-01,1
2019-12-08,1
2019-12-15,0
2019-12-22,0
2019-12-29,<1
2020-01-05,0
2020-01-12,0
2020-01-19,<1
2020-01-26,1
2020-02-02,1
2020-02-09,<1
2020-02-16,3
2020-02-23,19
2020-03-01,11
2020-03-08,16
2020-03-15,45
2020-03-22,100
2020-03-29,38
2020-04-05,41
2020-04-12,19
2020-04-19,22
2020-04-26,8
2020-05-03,7
2020-05-10,5
2020-05-17,10
2020-05-24,10
2020-05-31,4
2020-06-07,3
2020-06-14,1
2020-06-21,0
2020-06-28,0
2020-07-05,3
2020-07-12,1
2020-07-19,2
2020-07-26,3
2020-08-02,1
2020-08-09,1
2020-08-16,2
2020-08-23,1
2020-08-30,2
2020-09-06,1
2020-09-13,1
2020-09-20,1
2020-09-27,2
2020-10-04,1
2020-10-11,1
2020-10-18,4
2020-10-25,3
2020-11-01,2
2020-11-08,2
2020-11-15,2
2020-11-22,2
2020-11-29,3
2020-12-06,1
2020-12-13,0
2020-12-20,1
2020-12-27,2
2021-01-03,<1
2021-01-10,1
2021-01-17,1
2021-01-24,3
2021-01-31,1
2021-02-07,1
2021-02-14,1
2021-02-21,1
2021-02-28,1
2021-03-07,1
2021-03-14,2
2021-03-21,1
2021-03-28,1
2021-04-04,1
2021-04-11,1
2021-04-18,1
2021-04-25,<1
2021-05-02,0
2021-05-09,<1
2021-05-16,1
2021-05-23,0
2021-05-30,<1
2021-06-06,1
