Category: All categories

Week,Distanziamento sociale: (Worldwide)
2019-12-01,0
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,3
2020-03-01,8
2020-03-08,3
2020-03-15,5
2020-03-22,15
2020-03-29,27
2020-04-05,81
2020-04-12,59
2020-04-19,68
2020-04-26,100
2020-05-03,99
2020-05-10,84
2020-05-17,87
2020-05-24,56
2020-05-31,72
2020-06-07,33
2020-06-14,38
2020-06-21,29
2020-06-28,29
2020-07-05,61
2020-07-12,35
2020-07-19,30
2020-07-26,30
2020-08-02,40
2020-08-09,21
2020-08-16,8
2020-08-23,10
2020-08-30,21
2020-09-06,26
2020-09-13,21
2020-09-20,21
2020-09-27,10
2020-10-04,13
2020-10-11,22
2020-10-18,19
2020-10-25,14
2020-11-01,21
2020-11-08,8
2020-11-15,8
2020-11-22,13
2020-11-29,8
2020-12-06,0
2020-12-13,3
2020-12-20,6
2020-12-27,0
2021-01-03,3
2021-01-10,3
2021-01-17,5
2021-01-24,14
2021-01-31,5
2021-02-07,3
2021-02-14,8
2021-02-21,0
2021-02-28,8
2021-03-07,5
2021-03-14,3
2021-03-21,0
2021-03-28,14
2021-04-04,5
2021-04-11,8
2021-04-18,3
2021-04-25,11
2021-05-02,3
2021-05-09,0
2021-05-16,3
2021-05-23,5
2021-05-30,11
2021-06-06,6
