Category: All categories

Week,Vaccino: (Worldwide)
2019-12-01,2
2019-12-08,2
2019-12-15,1
2019-12-22,1
2019-12-29,1
2020-01-05,3
2020-01-12,2
2020-01-19,2
2020-01-26,3
2020-02-02,2
2020-02-09,2
2020-02-16,3
2020-02-23,6
2020-03-01,5
2020-03-08,8
2020-03-15,7
2020-03-22,6
2020-03-29,5
2020-04-05,6
2020-04-12,7
2020-04-19,6
2020-04-26,6
2020-05-03,5
2020-05-10,4
2020-05-17,5
2020-05-24,3
2020-05-31,3
2020-06-07,3
2020-06-14,3
2020-06-21,3
2020-06-28,3
2020-07-05,3
2020-07-12,3
2020-07-19,3
2020-07-26,3
2020-08-02,3
2020-08-09,5
2020-08-16,4
2020-08-23,4
2020-08-30,4
2020-09-06,5
2020-09-13,5
2020-09-20,5
2020-09-27,7
2020-10-04,8
2020-10-11,10
2020-10-18,10
2020-10-25,10
2020-11-01,8
2020-11-08,16
2020-11-15,12
2020-11-22,10
2020-11-29,9
2020-12-06,11
2020-12-13,13
2020-12-20,15
2020-12-27,30
2021-01-03,25
2021-01-10,21
2021-01-17,16
2021-01-24,12
2021-01-31,21
2021-02-07,24
2021-02-14,29
2021-02-21,31
2021-02-28,36
2021-03-07,62
2021-03-14,58
2021-03-21,52
2021-03-28,60
2021-04-04,64
2021-04-11,63
2021-04-18,65
2021-04-25,61
2021-05-02,68
2021-05-09,100
2021-05-16,94
2021-05-23,71
2021-05-30,98
2021-06-06,83
