Category: All categories

Week,cloroquina: (Worldwide)
2019-12-01,<1
2019-12-08,1
2019-12-15,<1
2019-12-22,<1
2019-12-29,<1
2020-01-05,<1
2020-01-12,1
2020-01-19,<1
2020-01-26,1
2020-02-02,1
2020-02-09,1
2020-02-16,<1
2020-02-23,7
2020-03-01,5
2020-03-08,5
2020-03-15,65
2020-03-22,100
2020-03-29,34
2020-04-05,62
2020-04-12,42
2020-04-19,19
2020-04-26,12
2020-05-03,11
2020-05-10,53
2020-05-17,97
2020-05-24,28
2020-05-31,21
2020-06-07,24
2020-06-14,17
2020-06-21,9
2020-06-28,9
2020-07-05,23
2020-07-12,20
2020-07-19,22
2020-07-26,16
2020-08-02,8
2020-08-09,9
2020-08-16,18
2020-08-23,10
2020-08-30,6
2020-09-06,4
2020-09-13,4
2020-09-20,3
2020-09-27,4
2020-10-04,3
2020-10-11,3
2020-10-18,4
2020-10-25,4
2020-11-01,2
2020-11-08,2
2020-11-15,3
2020-11-22,3
2020-11-29,4
2020-12-06,5
2020-12-13,4
2020-12-20,5
2020-12-27,4
2021-01-03,5
2021-01-10,7
2021-01-17,15
2021-01-24,8
2021-01-31,7
2021-02-07,4
2021-02-14,3
2021-02-21,5
2021-02-28,8
2021-03-07,7
2021-03-14,9
2021-03-21,17
2021-03-28,6
2021-04-04,6
2021-04-11,6
2021-04-18,4
2021-04-25,4
2021-05-02,7
2021-05-09,7
2021-05-16,14
2021-05-23,13
2021-05-30,11
2021-06-06,8
