Category: All categories

Week,Vacuna: (Worldwide)
2019-12-01,3
2019-12-08,3
2019-12-15,3
2019-12-22,2
2019-12-29,2
2020-01-05,4
2020-01-12,4
2020-01-19,4
2020-01-26,4
2020-02-02,4
2020-02-09,4
2020-02-16,4
2020-02-23,6
2020-03-01,7
2020-03-08,11
2020-03-15,28
2020-03-22,17
2020-03-29,14
2020-04-05,14
2020-04-12,13
2020-04-19,12
2020-04-26,10
2020-05-03,10
2020-05-10,9
2020-05-17,11
2020-05-24,8
2020-05-31,8
2020-06-07,8
2020-06-14,8
2020-06-21,8
2020-06-28,8
2020-07-05,8
2020-07-12,11
2020-07-19,15
2020-07-26,13
2020-08-02,12
2020-08-09,21
2020-08-16,11
2020-08-23,12
2020-08-30,9
2020-09-06,12
2020-09-13,10
2020-09-20,12
2020-09-27,10
2020-10-04,11
2020-10-11,12
2020-10-18,13
2020-10-25,12
2020-11-01,13
2020-11-08,18
2020-11-15,13
2020-11-22,12
2020-11-29,13
2020-12-06,16
2020-12-13,17
2020-12-20,18
2020-12-27,24
2021-01-03,19
2021-01-10,20
2021-01-17,22
2021-01-24,22
2021-01-31,40
2021-02-07,31
2021-02-14,35
2021-02-21,37
2021-02-28,34
2021-03-07,45
2021-03-14,49
2021-03-21,41
2021-03-28,49
2021-04-04,56
2021-04-11,58
2021-04-18,53
2021-04-25,59
2021-05-02,56
2021-05-09,59
2021-05-16,63
2021-05-23,87
2021-05-30,100
2021-06-06,94
